Variable,n_prueba,MSE,RMSE,MAE,R2
MINIMA,3273,0.24822364308723513,0.49822047638293143,0.36249449945076095,0.9922123976107351
MEDIA,3273,0.02851984801580184,0.16887820467959103,0.10732427988817919,0.9987547877880224
MAXIMA,3273,0.2342398990345156,0.4839833664853737,0.3578563170667078,0.9869982088308614
PRECIPITACION,3273,2292.0487853936684,47.875346321396655,27.795831659867016,0.7402742194853527
